theta,arm_id,seed,infections_total,attack_rate,recorded_onsets,onsets_before_split_day,infections_before_quarantine,infections_during_quarantine,infections_after_quarantine,confined_passenger_infections_during_quarantine,confined_at_activation,ledger_events_during,during_role_passenger,during_role_crew,during_zone_cabin,during_zone_crew_mess,during_zone_galley,during_zone_corridor,during_zone_other,during_route_direct_contact,during_route_droplet,during_route_hvac_airborne,during_route_fomite
100000.0,A0_declared,20200205,1171,0.315548369711668,931,276,678,455,38,117,2739,393,117,276,170,204,1,0,18,0,390,3,0
100000.0,A1_crew_confined,20200205,908,0.24467798437078955,786,270,680,217,11,119,3711,159,119,40,159,0,0,0,0,0,159,0,0
100000.0,A2_pool_transport_off,20200205,1276,0.34384263001886284,1156,455,916,335,25,127,2815,265,127,138,205,41,0,0,19,0,265,0,0
100000.0,A3_near_field_off,20200205,1146,0.3088116410670978,1053,401,874,258,14,148,2779,202,148,54,200,2,0,0,0,0,202,0,0
100000.0,A4_crew_confined_and_pool_off,20200205,1218,0.32821341956346,1128,451,915,289,14,124,3711,214,124,90,214,0,0,0,0,0,214,0,0
100000.0,A5_all_shared_air_off,20200205,0,0.0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A0_declared,20200206,1,0.00026946914578280785,1,1,1,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A1_crew_confined,20200206,1,0.00026946914578280785,1,1,1,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A2_pool_transport_off,20200206,1,0.00026946914578280785,1,1,1,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A3_near_field_off,20200206,0,0.0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A4_crew_confined_and_pool_off,20200206,1,0.00026946914578280785,1,1,1,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A5_all_shared_air_off,20200206,0,0.0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A0_declared,20200207,1,0.00026946914578280785,0,0,1,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A1_crew_confined,20200207,1,0.00026946914578280785,0,0,1,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A2_pool_transport_off,20200207,1,0.00026946914578280785,1,1,1,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A3_near_field_off,20200207,1,0.00026946914578280785,1,1,1,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
100000.0,A4_crew_confined_and_pool_off,20200207,1,0.00026946914578280785,1,1,1,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
