theta,arm_id,seed,infections_total,attack_rate,recorded_onsets,onsets_before_split_day,infections_before_quarantine,infections_during_quarantine,infections_after_quarantine,confined_passenger_infections_during_quarantine,confined_at_activation,ledger_events_during,during_role_passenger,during_role_crew,during_zone_cabin,during_zone_crew_mess,during_zone_galley,during_zone_corridor,during_zone_other,during_route_direct_contact,during_route_droplet,during_route_hvac_airborne,during_route_fomite
42200000000.0,A0_declared,20200205,3586,0.966316356777149,2064,2030,3586,0,0,0,3670,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A10_first_report_confinement,20200205,3586,0.966316356777149,2064,2030,3586,0,0,0,3670,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A11_arrest_bound,20200205,3564,0.9603880355699272,2093,2041,3543,21,0,7,3711,21,7,14,21,0,0,0,0,0,21,0,0
42200000000.0,A1_crew_confined,20200205,3586,0.966316356777149,2061,2028,3586,0,0,0,3711,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A2_pool_transport_off,20200205,3559,0.9590406898410132,2116,2065,3555,4,0,1,3660,4,1,3,4,0,0,0,0,0,4,0,0
42200000000.0,A3_near_field_off,20200205,3576,0.9636216653193209,2182,2129,3571,5,0,3,3677,5,3,2,5,0,0,0,0,0,5,0,0
42200000000.0,A4_crew_confined_and_pool_off,20200205,3560,0.9593101589867961,2119,2074,3555,5,0,1,3711,5,1,4,5,0,0,0,0,0,5,0,0
42200000000.0,A5_all_shared_air_off,20200205,1706,0.4597143627054702,1514,659,1458,239,9,57,2860,239,57,182,84,125,5,0,25,80,0,0,159
42200000000.0,A6_contact_dose_half,20200205,3586,0.966316356777149,2064,2030,3586,0,0,0,3670,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A7_contact_dose_quarter,20200205,3586,0.966316356777149,2064,2030,3586,0,0,0,3670,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A8_confinement_day12,20200205,3581,0.964969011048235,2062,2029,3563,18,0,5,3649,18,5,13,17,1,0,0,0,0,18,0,0
42200000000.0,A9_perfect_confinement,20200205,3588,0.9668552950687146,2077,2034,3586,2,0,1,3669,2,1,1,2,0,0,0,0,0,2,0,0
42200000000.0,A0_declared,20200206,3534,0.952303961196443,3527,2134,3347,187,0,114,3476,187,114,73,154,25,1,0,7,0,187,0,0
42200000000.0,A10_first_report_confinement,20200206,3534,0.952303961196443,3527,2134,3347,187,0,114,3476,187,114,73,154,25,1,0,7,0,187,0,0
42200000000.0,A11_arrest_bound,20200206,1846,0.49744004311506335,1806,577,1182,664,0,517,3711,664,519,145,664,0,0,0,0,0,664,0,0
42200000000.0,A1_crew_confined,20200206,3521,0.9488008623012665,3508,2134,3347,174,0,117,3711,174,117,57,174,0,0,0,0,0,174,0,0
42200000000.0,A2_pool_transport_off,20200206,3460,0.9323632444085153,3427,907,2953,506,1,281,2825,506,282,224,341,124,7,0,34,0,506,0,0
42200000000.0,A3_near_field_off,20200206,2991,0.8059822150363783,2556,56,1287,1668,36,1111,2666,1668,1112,556,1197,408,8,0,55,0,1268,400,0
42200000000.0,A4_crew_confined_and_pool_off,20200206,3395,0.9148477499326327,3348,905,2953,440,2,280,3711,440,281,159,440,0,0,0,0,0,440,0,0
42200000000.0,A5_all_shared_air_off,20200206,0,0.0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A6_contact_dose_half,20200206,3534,0.952303961196443,3527,2134,3347,187,0,114,3476,187,114,73,154,25,1,0,7,0,187,0,0
42200000000.0,A7_contact_dose_quarter,20200206,3534,0.952303961196443,3527,2134,3347,187,0,114,3476,187,114,73,154,25,1,0,7,0,187,0,0
42200000000.0,A8_confinement_day12,20200206,3325,0.8959849097278362,3276,1872,2438,882,5,656,2795,882,658,224,689,186,0,0,7,0,848,34,0
42200000000.0,A9_perfect_confinement,20200206,1780,0.47965507949339803,1676,8,532,1245,3,323,2666,1245,325,920,404,745,12,0,84,0,1245,0,0
42200000000.0,A0_declared,20200207,3531,0.9514955537590946,3519,2330,3384,147,0,90,3384,147,90,57,123,23,0,0,1,0,147,0,0
42200000000.0,A10_first_report_confinement,20200207,3531,0.9514955537590946,3519,2330,3384,147,0,90,3384,147,90,57,123,23,0,0,1,0,147,0,0
42200000000.0,A11_arrest_bound,20200207,34,0.009161950956615468,33,10,19,15,0,12,3711,15,12,3,15,0,0,0,0,0,15,0,0
42200000000.0,A1_crew_confined,20200207,3535,0.9525734303422259,3517,2324,3384,151,0,93,3711,151,93,58,151,0,0,0,0,0,151,0,0
42200000000.0,A2_pool_transport_off,20200207,2574,0.6936135812449474,2432,30,1437,1133,4,544,2667,1133,545,588,618,445,3,0,67,0,1123,10,0
42200000000.0,A3_near_field_off,20200207,3531,0.9514955537590946,3524,2571,3409,122,0,75,3488,122,75,47,104,17,1,0,0,0,122,0,0
42200000000.0,A4_crew_confined_and_pool_off,20200207,2202,0.5933710590137429,2049,32,1437,761,4,540,3711,761,541,220,761,0,0,0,0,0,761,0,0
42200000000.0,A5_all_shared_air_off,20200207,0,0.0,0,0,0,0,0,0,2666,0,0,0,0,0,0,0,0,0,0,0,0
42200000000.0,A6_contact_dose_half,20200207,3514,0.9469145782807868,3504,2263,3323,191,0,141,3440,191,141,50,168,22,1,0,0,0,191,0,0
42200000000.0,A7_contact_dose_quarter,20200207,3531,0.9514955537590946,3519,2330,3384,147,0,90,3384,147,90,57,123,23,0,0,1,0,147,0,0
42200000000.0,A8_confinement_day12,20200207,3310,0.8919428725410941,3278,1976,2445,864,1,566,2772,864,570,294,628,209,0,0,27,0,850,14,0
42200000000.0,A9_perfect_confinement,20200207,1298,0.3497709512260846,1188,2,205,1090,3,128,2666,1090,129,961,208,754,7,0,121,0,1090,0,0
42200000000.0,A0_declared,20200208,3563,0.9601185664241444,2902,2811,3556,7,0,4,3667,7,4,3,7,0,0,0,0,0,6,1,0
42200000000.0,A10_first_report_confinement,20200208,3563,0.9601185664241444,2902,2811,3556,7,0,4,3667,7,4,3,7,0,0,0,0,0,6,1,0
42200000000.0,A11_arrest_bound,20200208,3532,0.9517650229048774,2538,2480,3488,44,0,29,3711,44,29,15,44,0,0,0,0,0,44,0,0
42200000000.0,A1_crew_confined,20200208,3563,0.9601185664241444,2906,2817,3556,7,0,4,3711,7,4,3,7,0,0,0,0,0,7,0,0
42200000000.0,A2_pool_transport_off,20200208,3558,0.9587712206952304,2567,2519,3554,4,0,1,3667,4,1,3,4,0,0,0,0,0,4,0,0
