theta,infection_age_days,seed,infections_total,attack_rate,recorded_onsets,index_onset_day,index_shedding_at_day0,invalid_reason,parent_infections_total,parent_attack_rate,parent_recorded_onsets
10.0,3.3,20200205,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200206,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200207,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200208,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200209,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200210,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200211,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200212,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200213,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200214,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200215,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200216,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200217,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200218,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200219,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200220,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200221,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200222,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200223,0,0.0,0,-1.0,True,,0,0.0,0
10.0,3.3,20200224,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200205,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200206,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200207,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200208,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
100.0,3.3,20200209,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200210,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200211,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200212,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200213,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200214,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200215,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200216,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200217,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200218,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200219,1,0.00026946914578280785,0,-1.0,True,,1,0.00026946914578280785,0
100.0,3.3,20200220,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200221,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200222,0,0.0,0,-1.0,True,,0,0.0,0
100.0,3.3,20200223,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
100.0,3.3,20200224,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200205,3,0.0008084074373484236,3,-1.0,True,,3,0.0008084074373484236,3
1000.0,3.3,20200206,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200207,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200208,3,0.0008084074373484236,2,-1.0,True,,3,0.0008084074373484236,2
1000.0,3.3,20200209,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000.0,3.3,20200210,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200211,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200212,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200213,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200214,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000.0,3.3,20200215,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200216,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200217,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200218,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200219,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000.0,3.3,20200220,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200221,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200222,0,0.0,0,-1.0,True,,0,0.0,0
1000.0,3.3,20200223,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
1000.0,3.3,20200224,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200205,135,0.03637833468067906,122,-1.0,True,,135,0.03637833468067906,122
10000.0,3.3,20200206,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200207,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200208,22,0.005928321207221773,16,-1.0,True,,22,0.005928321207221773,16
10000.0,3.3,20200209,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
10000.0,3.3,20200210,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200211,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200212,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
10000.0,3.3,20200213,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200214,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
10000.0,3.3,20200215,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200216,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200217,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200218,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200219,1,0.00026946914578280785,0,-1.0,True,,1,0.00026946914578280785,0
10000.0,3.3,20200220,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200221,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200222,0,0.0,0,-1.0,True,,0,0.0,0
10000.0,3.3,20200223,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
10000.0,3.3,20200224,0,0.0,0,-1.0,True,,0,0.0,0
100000.0,3.3,20200205,950,0.2559956884936675,810,-1.0,True,,1110,0.2991107518189167,775
100000.0,3.3,20200206,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
100000.0,3.3,20200207,1,0.00026946914578280785,0,-1.0,True,,1,0.00026946914578280785,0
100000.0,3.3,20200208,396,0.10670978172999192,352,-1.0,True,,392,0.10563190514686069,356
100000.0,3.3,20200209,1,0.00026946914578280785,0,-1.0,True,,1,0.00026946914578280785,0
100000.0,3.3,20200210,0,0.0,0,-1.0,True,,0,0.0,0
100000.0,3.3,20200211,717,0.19320937752627323,281,-1.0,True,,744,0.20048504446240906,277
100000.0,3.3,20200212,1,0.00026946914578280785,1,-1.0,True,,1,0.00026946914578280785,1
