chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7],conc_expected_log10[8],conc_expected_log10[9],conc_expected_log10[10],conc_expected_log10[11],conc_expected_log10[12],conc_expected_log10[13],conc_expected_log10[14],conc_expected_log10[15]
1.0,1.0,1.0,-284.22974,0.9921632,0.19339555,4.0,15.0,0.0,297.3166,-9.9758587,1.612035,1.6056589,0.1012565,1.406844,0.6952065,0.58595791,-11.634121,0.43387425,0.011386933,-0.20143127,0.72453224,1.0408127,-0.024633632,-0.19610394,-7.7584564,1.0604967,22174.438,7.8001988,0.14269924,0.94981984,-7.3874803,0.40736175,-6.8376665,8.9024803e-06,1.7378888,0.00061895356,0.0010726034,0.096510742,0.096510742,0.96401411,0.0018606184,0.0017420521,0.10011341,0.96401411,0.9756673,0.8219268,-255.14809,0.0,-19.821177,6.9440034,6.9440034,7.4144197,7.4573608,7.4824836,7.5003097,7.5141375,7.4603854,7.46994,7.4700636,7.4701989,7.4703545,7.4705422,7.4707762,7.4710728
1.0,2.0,2.0,-284.83858,0.97630079,0.19339555,4.0,15.0,0.0,292.14449,-9.6048273,0.94426546,0.95825016,0.11308019,1.4022052,0.84484486,1.099987,-9.7328387,0.84573613,0.73917109,-0.16849472,0.86139355,1.0379391,0.0851226,-0.25451559,-8.4386844,1.3937242,27186.188,7.7443006,0.4024795,1.0169697,-8.6999848,0.92931833,-7.6121049,0.00011080983,2.0659276,0.00016658834,0.00049443005,0.046838211,0.046838211,0.65859603,0.023159255,0.0011208045,0.071118271,0.65859603,1.0888506,0.77529197,-255.72388,0.0,-22.477103,5.3294236,5.3294236,6.548311,6.6693875,6.7402333,6.7905052,6.8295024,6.6779174,6.7048628,6.7121498,6.7191823,6.7260046,6.7326642,6.7392105,6.7456929
1.0,3.0,3.0,-284.34702,0.99792654,0.19339555,4.0,15.0,0.0,290.83769,-4.3887865,0.3753004,0.77862542,1.0069382,-0.72284382,0.73815123,-0.0053798545,-13.210114,0.11278547,0.30216907,-0.71160721,0.090830401,0.36969792,0.13392443,0.25214267,-4.9407539,1.5033943,388116.76,7.1852939,0.27084988,0.95696217,-4.096568,-0.0039711462,-4.8283983,1.8954891e-06,0.50761733,0.01662965,0.0079993238,0.77608535,0.77608535,0.99427436,0.00039615721,0.0040730177,0.78055453,0.99427436,1.1433064,1.2867796,-253.15921,0.0,-21.478968,5.5601946,5.5601946,6.697708,6.7792382,6.8269313,6.8607703,6.8870182,6.7849781,6.803112,6.8031232,6.803141,6.8031703,6.8032174,6.8032907,6.8033992
1.0,4.0,4.0,-287.44418,0.7843098,0.19339555,4.0,31.0,0.0,294.76529,-7.3361688,0.58027351,0.99396313,0.096155515,0.24821824,0.24916588,-0.21352113,-13.548641,0.1853863,-0.11354272,-0.85021218,0.04938979,-1.0101126,0.26901867,0.67433577,-6.9864759,0.46412607,191078.26,7.6378959,0.13021397,0.98252927,-6.7593983,-0.053202181,-6.788733,1.2786694e-06,0.40652842,0.0011599268,0.0011263951,0.11710515,0.11710515,0.99355492,0.0002672419,0.00049240623,0.11786479,0.99355492,1.3086796,1.9627288,-255.10673,0.0,-19.060978,6.8566121,6.8566121,7.2965782,7.3357647,7.3586903,7.3749571,7.387575,7.3385236,7.3472402,7.3472546,7.3472716,7.3472929,7.3473212,7.3473593,7.3474111
1.0,5.0,5.0,-288.26363,0.83755738,0.19339555,4.0,31.0,0.0,297.7915,-5.4380226,0.49840257,-0.95116404,1.1572854,1.1620564,1.411012,0.48765793,-12.391311,0.70150975,2.5225161,-0.97642769,0.024522836,-0.30357481,-0.055415974,-0.34052601,-7.5154268,0.58485,94269.682,7.4598852,0.087200687,0.66202062,-5.9120853,0.68809118,-3.8791631,2.4380155e-05,0.37386063,0.0027065372,0.020668115,1.8340026,1.8340026,0.99339816,0.0050954523,0.0070928118,1.8461909,0.99339816,0.94609152,0.71139602,-252.22157,0.0,-20.088742,6.9366811,6.9366811,7.3354933,7.3617428,7.3770979,7.3879926,7.3964432,7.3635907,7.3694289,7.3694403,7.3694532,7.3694688,7.3694886,7.3695145,7.3695488
1.0,6.0,6.0,-285.43673,0.9873401,0.19339555,5.0,31.0,0.0,296.21609,-6.6164952,1.6978017,1.7635009,0.76549908,-0.68377935,0.55629486,0.40406683,-10.43602,0.46695105,-2.5557209,-0.24598796,0.58396261,0.30297367,0.1820435,0.43422711,-6.3788835,0.56796986,73821.943,7.0491693,0.25645686,0.98496518,-3.6224203,0.2247803,-3.9210725,8.9003844e-06,0.93326819,0.026717932,0.019819827,1.9698131,1.9698131,0.98951672,0.0018601803,0.019008688,1.990682,0.98951672,1.1996664,1.5437694,-252.26574,0.0,-21.577986,5.5104282,5.5104282,6.6912417,6.7684415,6.8136009,6.8456421,6.8704955,6.7738772,6.7910494,6.791069,6.7911001,6.7911513,6.7912338,6.7913619,6.7915517
1.0,7.0,7.0,-286.76532,0.98834758,0.19339555,5.0,31.0,0.0,295.67243,-5.7899436,0.44022242,-1.082757,0.38260965,1.1427111,1.2341818,0.45845041,-12.041613,0.077968157,2.6233613,-0.95425844,0.34364026,-0.3026819,0.10172738,-0.32731824,-7.3057775,0.72668556,123683.73,7.1584644,0.019376028,0.58361788,-6.2665975,0.56581115,-5.2635741,7.2314231e-06,0.34705496,0.0018986778,0.0051767694,0.49436816,0.49436816,0.99339638,0.0015113674,0.0017749524,0.49765448,0.99339638,1.1070816,0.7208543,-253.58963,0.0,-17.955917,7.0422082,7.0422082,7.1197938,7.1256262,7.129038,7.1314588,7.1333365,7.1260368,7.127334,7.1273367,7.1273398,7.1273434,7.1273478,7.1273536,7.127361
1.0,8.0,8.0,-287.59807,0.73936583,0.19339555,5.0,31.0,0.0,300.38613,-6.9999749,1.3300363,2.2927666,0.2134038,2.9231927e-05,0.25610818,0.066005167,-11.733555,0.1252247,-1.5641433,-0.45930338,0.44746797,-0.06961697,-0.13284602,0.28907721,-5.2646311,0.19456361,248925.16,6.8203959,0.01181213,0.94900333,-3.9505123,0.016904463,-3.9336016,6.5935091e-06,0.61234787,0.019244841,0.019573052,1.6788824,1.6788824,0.99289854,0.0013780434,0.010629743,1.6908902,0.99289854,0.8755999,1.3351948,-252.27505,0.0,-17.408887,6.7495231,6.7495231,6.8030902,6.8066459,6.8087259,6.8102017,6.8113464,6.8068963,6.8076872,6.8076878,6.8076889,6.8076905,6.8076931,6.8076971,6.8077029
1.0,9.0,9.0,-292.59037,0.86969409,0.19339555,4.0,15.0,0.0,305.47303,-1.89582,1.2467538,1.7577497,0.34062653,-0.8674015,0.48879612,1.2221771,-11.42152,0.51106359,-0.66121534,-1.1277221,0.52358729,0.36229386,-1.1938188,0.79036746,-6.4819286,0.65352408,54507.962,7.0003026,0.0033804908,0.98551295,0.29566111,0.59739543,0.59759658,7.8151761e-06,0.39139828,1.3440146,1.8177447,112.20682,112.20682,0.99595577,0.0016333718,0.45399899,112.66246,0.99595577,0.30306172,2.2042062,-249.00584,0.0,-17.337213,6.9800197,6.9800197,7.001519,7.0025366,7.0031319,7.0035543,7.0038819,7.0026083,7.0028346,7.0028347,7.0028348,7.002835,7.0028354,7.0028361,7.0028371
1.0,10.0,10.0,-284.86755,0.87406505,0.19339555,4.0,15.0,0.0,302.63347,-7.1507676,0.71405033,0.87249559,0.039602235,-1.0099987,0.94796595,1.5677559,-10.89166,0.85337392,-0.038909227,-0.45516745,0.47756863,-1.0199252,0.13585871,0.44711697,-7.4243341,1.5573904,11465.082,6.9030793,0.013221673,0.79791138,-6.5277618,1.4861792,-5.0815808,1.800495e-05,0.38974925,0.001462275,0.0062100841,0.6030727,0.6030727,0.98982958,0.0037630345,0.0024334902,0.60926923,0.98982958,1.14552,1.5637972,-253.40757,0.0,-16.887772,6.8237493,6.8237493,6.8778371,6.881817,6.8841451,6.885797,6.8870783,6.8820971,6.8829823,6.882986,6.8829898,6.8829941,6.8829991,6.883005,6.8830122
