chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7],conc_expected_log10[1],conc_expected_log10[2],conc_expected_log10[3],conc_expected_log10[4],conc_expected_log10[5],conc_expected_log10[6],conc_expected_log10[7]
1.0,1.0,1.0,-242871.41,0.98031693,0.20814767,4.0,15.0,0.0,242880.58,-6.0437568,1.3488956,1.5122141,0.090575785,0.47476706,0.91386724,0.52498915,-12.902874,1.3909631,-0.030579835,-0.06083751,0.17853998,0.23887782,-0.53610574,-0.36109976,-0.016335319,0.0002190473,307992.44,7.6657955,0.017512714,0.20928053,-4.0039378,0.47977039,-3.481165,2.3871525e-06,0.98197614,0.018243657,0.03077154,2.2638907,2.2638907,0.99990091,0.00011697047,0.00010738419,2.2641151,0.99990091,0.58502205,0.69690947,-251.80386,-45.47216,1.7478651,0.49515976,0.49515976,0.4957479,0.49578585,0.49580806,0.49582381,0.49583603,7.5607192,7.5607192,7.6424106,7.6476824,7.6507662,7.6529542,7.6546514
1.0,2.0,2.0,-242874.93,0.72592808,0.20814767,4.0,15.0,0.0,242885.3,-4.1405375,1.2857053,1.6731848,0.77416262,0.0599387,0.31383169,1.2589839,-16.446466,0.041950065,-0.45901383,0.071317571,0.72106332,1.9647617,0.19803646,0.1120298,-0.012418583,0.0006471513,27180.576,7.7918268,0.030475524,0.20418486,-1.9893149,0.39510905,-1.5478036,7.0636303e-08,4.4283858,0.13678911,0.21271467,21.313646,21.313646,0.99978599,3.4611788e-06,0.0045589501,21.318208,0.99978599,1.2190068,1.1185462,-249.87112,-45.935003,0.78591887,0.49466038,0.49466038,0.49676072,0.49687285,0.49693845,0.49698499,0.4970211,7.6089737,7.6089737,7.7808088,7.7899828,7.7953493,7.7991569,7.8021104
1.0,3.0,3.0,-242871.83,0.97045278,0.20814767,4.0,15.0,0.0,242882.18,-7.2950098,1.9071021,1.9031778,0.41530854,1.6402862,1.1494364,-0.92219877,-9.0175116,0.87494702,0.33796348,-0.34197855,0.17996403,-1.2699432,-0.11129665,-0.2004847,-0.014290511,0.00027656863,162399.8,7.7624357,0.010211388,0.23565618,-3.6654554,-1.0600088,-4.0442394,0.00016299167,0.56522995,0.025592513,0.017523028,1.5170786,1.5170786,0.99473596,0.0079865919,4.1636584e-05,1.5251068,0.99473596,0.8946733,0.81833401,-252.3576,-45.339455,1.649611,0.49547226,0.49547226,0.49618754,0.49623546,0.49626349,0.49628338,0.49629881,7.7011674,7.7011674,7.7470482,7.7501221,7.7519202,7.753196,7.7541856
1.0,4.0,4.0,-242876.76,0.52967926,0.20814767,4.0,15.0,0.0,242882.76,-9.0129988,1.9851361,4.5649454,0.98481894,1.2389561,0.13387086,-1.151732,-9.9280516,0.43714619,-0.0013820925,0.21678433,0.2784908,-1.3851272,0.60222135,-0.11278023,-0.017342954,0.00039108218,121161.35,7.6445544,0.015061155,0.15878838,0.049039063,-0.15418335,1.1150031,4.8757291e-05,0.84454195,1.0502614,3.0495778,383.32941,383.32941,0.99995298,0.0023891073,0.01563715,383.34744,0.99995298,1.8261709,0.89334697,-247.21554,-45.842064,1.5112118,0.49431376,0.49431376,0.49586548,0.49593324,0.49597288,0.49600101,0.49602282,7.5541875,7.5541875,7.6580097,7.6625436,7.6651957,7.6670774,7.668537
1.0,5.0,5.0,-242875.1,0.93147128,0.20814767,4.0,15.0,0.0,242883.05,-2.3457765,0.46394337,-0.74220339,0.64462345,0.49516639,1.709805,3.6605264,-13.137797,0.56760766,-1.1275152,-1.6571352,0.55006632,1.6605583,0.11302119,0.11115001,-0.013875661,0.00020754047,197534.85,7.6440852,0.037187537,0.24087132,-2.6901168,6.2587865,3.8878656,1.0384475e-06,0.47534329,0.067873009,48.806601,4686.6801,4686.6801,0.99997703,5.0883928e-05,0.10760544,4686.7878,0.99997703,1.1196557,1.1175625,-244.52849,-45.755356,-0.25256308,0.49581436,0.49581436,0.49676776,0.49680372,0.49682476,0.49683969,0.49685126,7.42096,7.42096,7.7177415,7.728936,7.7354844,7.7401306,7.7437345
1.0,6.0,6.0,-242874.28,0.87909585,0.20814767,4.0,31.0,0.0,242885.68,-7.2870106,0.65375903,0.10355764,0.34264179,0.49848239,0.34785494,-0.46323362,-11.278511,0.28864736,0.22825187,0.22958008,0.32563702,-0.51538625,0.1507786,-0.13925394,-0.011954529,5.2376317e-06,258014.18,7.8369772,0.007565868,0.23809426,-7.2193088,-0.1611381,-7.209646,1.3502622e-05,1.0636977,0.00073230839,0.00073941883,0.072341076,0.072341076,0.99088602,0.00066162848,3.7507551e-06,0.073006455,0.99088602,1.1627392,0.87000707,-255.50681,-45.772679,0.82522264,0.49699331,0.49699331,0.49700288,0.49700379,0.49700432,0.4970047,0.49700499,7.791582,7.791582,7.8155918,7.8178682,7.8192001,7.8201452,7.8208783
1.0,7.0,7.0,-242875.49,0.86675709,0.20814767,4.0,15.0,0.0,242884.57,-6.2634879,0.3214075,-0.99284367,0.68736542,0.63201411,0.46589612,0.86612909,-11.229994,0.26646744,-0.44891167,-1.6043695,0.60975682,0.36159353,0.33245704,-0.067602922,-0.002168318,1.2330792e-05,19338.623,7.7540671,0.036580115,0.18788831,-6.5825953,0.40352618,-5.7446445,1.1774026e-05,0.25060298,0.0013842521,0.0031998719,0.34419224,0.34419224,0.99831454,0.00057692726,4.1732671e-06,0.34477334,0.99831454,1.39439,0.93463152,-254.0621,-48.053656,1.2818102,0.49941533,0.49941533,0.49944264,0.49944478,0.49944603,0.49944691,0.4994476,7.5345865,7.5345865,7.6753246,7.6863352,7.6927762,7.6973463,7.7008912
1.0,8.0,8.0,-242874.0,0.92254142,0.20814767,5.0,47.0,0.0,242882.81,-5.2989738,1.7032841,3.263425,0.087093875,-0.0079900948,0.37916956,0.75542253,-10.502458,0.35246111,-0.038152848,0.44397448,0.18914827,-0.50026105,-0.49324874,0.057361033,-0.011496803,5.3852109e-05,617287.59,7.7506131,0.024195494,0.22492736,0.25956604,0.28643323,0.54530338,2.7101946e-05,1.4181468,1.2963674,1.7251317,128.77565,128.77565,0.99992119,0.0013279954,0.0088210638,128.7858,0.99992119,0.61063936,1.0590381,-247.78016,-46.268011,1.104588,0.49693984,0.49693984,0.49713884,0.49714817,0.49715363,0.4971575,0.49716051,7.6054401,7.6054401,7.7607665,7.7680501,7.7723107,7.7753337,7.7776785
1.0,9.0,9.0,-242876.14,0.97579724,0.20814767,5.0,31.0,0.0,242884.93,-5.7456966,0.16416872,-1.1046791,0.1399289,0.88200195,0.85624562,0.049014561,-13.207952,0.028609254,0.38078022,-0.93479919,0.0099534272,0.57963627,0.45232244,-0.049038193,-0.0048364153,0.0012673763,222491.3,7.7707075,0.03009491,0.16947975,-5.9270503,0.041968504,-5.7616643,1.8560535e-06,0.39493668,0.0026663352,0.0031458717,0.36184529,0.36184529,0.99972965,9.0946622e-05,6.9043225e-06,0.36194315,0.99972965,1.5719587,0.95214476,-254.08216,-48.015008,1.583482,0.49441377,0.49441377,0.49723586,0.49745545,0.49758391,0.49767506,0.49774576,7.590138,7.590138,7.70656,7.7156186,7.7209178,7.7246776,7.7275941
1.0,10.0,10.0,-242875.99,0.93002243,0.20814767,4.0,31.0,0.0,242885.09,-8.403173,0.68102608,-0.38990791,1.5137724,1.7171506,0.19783773,-1.4370497,-12.657533,0.31670673,-1.0870191,-0.34255698,0.015474828,-1.1749378,-0.082920977,-0.1763171,-0.013209767,0.00088568971,33801.523,7.705541,0.0049368994,0.15844777,-8.6687105,-0.28430266,-6.353638,2.2562666e-06,0.69716097,0.00017188061,0.0017404041,0.15256,0.15256,0.9992422,0.00011055706,5.1410269e-06,0.1526757,0.9992422,0.92042388,0.8383521,-254.67195,-45.918838,2.7434415,0.49363884,0.49363884,0.49541986,0.49557329,0.49566305,0.49572674,0.49577615,7.6759196,7.6759196,7.6931676,7.6946534,7.6955227,7.6961394,7.6966178
