chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],sigma_visit,z_visit[1],sigma_time,z_time[1],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],fleet_time[1],log_lambda_visit[1],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_visit[1],imported_cases_visit[1],imported_cases[1],attribution_share[1],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration,ww_expected_fraction[1],ww_expected_fraction[2],ww_expected_fraction[3],ww_expected_fraction[4],ww_expected_fraction[5],ww_expected_fraction[6],ww_expected_fraction[7]
1.0,1.0,1.0,-445.02207,0.8749065,0.21111834,4.0,31.0,0.0,455.93478,-7.6867212,1.1809578,0.57474212,0.23626605,2.1566421,1.1622262,0.71174756,-8.2835133,0.94667852,1.0933875,-0.91285343,0.077420398,-0.020809723,0.21925486,-0.23996766,-10.64955,0.11497407,597759.13,9.9048177,1.266665,0.47120102,-7.007975,0.8272117,-5.671222,0.0007112925,0.40073115,0.00090463865,0.0034436546,0.34882927,0.34882927,0.90914343,0.034853333,7.4265436e-06,0.38369003,0.90914343,1.2451486,0.7866533,-253.80499,-12.48318,0.0,4.8429806e-06,4.8429806e-06,1.3576836e-05,1.4702986e-05,1.5404588e-05,1.5922603e-05,1.6336378e-05
1.0,2.0,2.0,-453.74608,0.94475817,0.21111834,4.0,15.0,0.0,458.77053,-10.701735,0.38491859,-0.38210976,0.39784142,-2.6253399,0.27128533,-1.9409467,-6.2277246,0.18783872,-1.1199983,-0.24014675,0.4342368,-0.036611133,-0.58024601,0.010697032,-11.04352,0.035360499,512036.98,4.7657415,0.91610177,0.27351973,-10.848816,-0.52655036,-12.419835,0.0015994369,0.7741074,1.9427599e-05,4.0377005e-06,0.00029277345,0.00029277345,0.0037216276,0.078372407,2.9413404e-06,0.078668122,0.0037216276,0.55976064,1.0107544,-254.7549,-11.886578,0.0,9.8105434e-06,9.8105434e-06,1.273657e-05,1.3052453e-05,1.3240889e-05,1.3376244e-05,1.3482191e-05
1.0,3.0,3.0,-452.20844,0.97957737,0.21111834,5.0,31.0,0.0,466.63054,-8.0366676,0.83359498,0.064200736,0.47756616,0.49295564,0.30234439,1.4120993,-8.4345603,0.024193211,0.22263463,0.82842209,0.083618293,-0.83181683,0.095244107,-0.097867961,-11.031847,0.04697952,1514041.4,4.5533383,1.015203,0.25543117,-7.9831501,0.4269403,-7.3207909,0.0002184018,2.1358549,0.00034116301,0.0006616387,0.062985985,0.062985985,0.85468145,0.010701688,7.6020047e-06,0.073695275,0.85468145,1.0999273,0.90676862,-255.35191,-11.300974,0.0,8.453739e-06,8.453739e-06,1.1921315e-05,1.231571e-05,1.2552487e-05,1.2723253e-05,1.2857317e-05
1.0,4.0,4.0,-445.09375,0.99063882,0.21111834,4.0,15.0,0.0,457.33442,-4.1620556,0.35635427,1.2444887,0.50308958,-0.39335447,0.39127761,-0.88067397,-11.248316,0.10251531,-0.2026329,-1.7723597,0.60596344,-0.1877653,-0.1501295,0.081361855,-10.429363,0.20716529,289790.3,8.7113721,1.1201385,0.15892252,-3.7185768,-0.34458801,-4.2610573,1.276136e-05,0.15165628,0.024268483,0.014107379,1.2011735,1.2011735,0.99947237,0.00062530663,8.8034662e-06,1.2018076,0.99947237,0.86059653,1.0847634,-252.58269,-14.811414,0.0,1.6888565e-06,1.6888565e-06,1.3707913e-05,1.5824557e-05,1.7211168e-05,1.8268066e-05,1.9132355e-05
1.0,5.0,5.0,-448.03582,0.9677925,0.21111834,4.0,15.0,0.0,460.5393,-8.4556158,1.9080068,1.1496425,0.82849317,2.0354383,0.20227585,1.2434972,-13.953952,0.22541294,0.165384,0.54978554,0.25456991,0.60276461,0.81767607,0.081106283,-11.694263,0.044688133,1822941.7,8.2973455,0.97514591,0.77124949,-6.2620902,0.25152945,-4.3242141,9.0378643e-07,2.0202702,0.001907255,0.013243955,1.9089788,1.9089788,0.99987923,4.4285535e-05,0.00018628685,1.9092094,0.99987923,2.2652295,1.0844862,-252.64667,-10.784687,0.0,4.4989912e-06,4.4989912e-06,7.2154012e-06,7.4423931e-06,7.578472e-06,7.6765285e-06,7.7534619e-06
1.0,6.0,6.0,-448.05432,0.99703526,0.21111834,4.0,15.0,0.0,455.7555,-8.5038674,1.2314126,1.201814,0.991725,3.4369118,0.54660612,0.49641512,-15.727883,0.097903448,-0.085363386,-0.22022618,0.3176512,0.96442231,0.49323861,-0.064386537,-11.304029,0.088597335,2553896.8,9.0169,0.87435466,0.35760515,-7.0239384,0.27134354,-3.3441234,1.4650002e-07,1.0899412,0.0008903122,0.035291137,4.1565785,4.1565785,0.99994563,7.1785011e-06,0.00021882721,4.1568045,0.99994563,1.6376112,0.9376425,-251.66696,-11.011969,0.0,3.6235742e-06,3.6235742e-06,9.9035398e-06,1.0530777e-05,1.0915946e-05,1.1197743e-05,1.1421324e-05
1.0,7.0,7.0,-441.19548,0.93921012,0.21111834,4.0,15.0,0.0,456.65738,-2.7014482,1.3313504,1.0613624,0.31388514,-0.26700391,0.61876102,0.81743889,-11.759439,0.62237031,-0.82935427,-0.69130571,0.38364909,-0.027022393,0.50733547,-0.16247893,-11.608935,0.076193697,457240.8,8.2809235,0.83683477,0.18097953,-1.288403,0.50579932,-0.86641219,4.6641539e-06,0.4957553,0.27571075,0.42045737,49.931883,49.931883,0.99997148,0.00022854354,0.0011956631,49.933307,0.99997148,1.6608599,0.850034,-249.1903,-11.867616,0.0,3.1705885e-06,3.1705885e-06,9.0975214e-06,9.5909018e-06,9.8918233e-06,1.0111039e-05,1.0284418e-05
1.0,8.0,8.0,-444.07068,0.97070039,0.21111834,4.0,15.0,0.0,449.85782,-9.3627603,0.29068948,0.55486621,0.72391144,-0.05093428,0.73779899,1.7466448,-13.156585,0.41026889,0.13293612,-0.20716426,0.52082251,0.75459484,-0.67287289,0.003812957,-11.105091,0.088154187,382071.52,10.171404,1.2984225,0.15477947,-9.2014665,1.2886728,-7.9496656,2.0410513e-06,1.2042364,0.00010089134,0.00035278011,0.02484634,0.02484634,0.99593301,0.00010001151,1.4510432e-06,0.024947803,0.99593301,0.51024061,1.0038202,-256.25063,-11.752568,0.0,4.4482903e-06,4.4482903e-06,7.7069679e-06,8.1918662e-06,8.4897203e-06,8.7076491e-06,8.880558e-06
1.0,9.0,9.0,-447.17943,0.98027265,0.21111834,4.0,31.0,0.0,452.9568,-5.8823774,0.12696624,-0.21232389,0.45529629,1.9827618,0.58842416,-0.040583703,-10.674797,0.050011457,0.14736126,-1.1767891,0.20047903,-1.3608655,0.36422334,0.081024004,-10.214222,0.23817279,781676.34,8.6302746,0.87421803,1.0690558,-5.9093354,-0.023880431,-5.0304718,2.329137e-05,0.23466082,0.00271399,0.0065357266,0.71536546,0.71536546,0.99839585,0.0011412771,8.1212408e-06,0.71651485,0.99839585,1.4393957,1.0843969,-253.34897,-15.235914,0.0,1.3645272e-06,1.3645272e-06,1.3396134e-05,1.5800545e-05,1.7402448e-05,1.8636581e-05,1.9653814e-05
1.0,10.0,10.0,-453.50865,0.99615195,0.21111834,4.0,15.0,0.0,461.86663,-7.8879811,0.079675488,-1.6082945,0.75888442,0.92970687,0.52522037,-0.14206538,-11.168217,0.015502294,-1.7016941,-1.4721404,0.5809849,2.0361853,-0.18864223,-0.21376421,-10.540553,0.1075233,73429.622,8.1814436,1.5221798,0.12785752,-8.0161228,-0.074615629,-7.3851984,1.3748281e-05,0.74890176,0.0003300974,0.0006203676,0.051974071,0.051974071,0.98716857,0.00067366577,1.9044347e-06,0.052649641,0.98716857,0.82808272,0.80753877,-255.67711,-14.341403,0.0,5.9862356e-06,5.9862356e-06,1.267994e-05,1.366038e-05,1.4268858e-05,1.4716998e-05,1.5074298e-05
