chain__,iter__,draw__,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_log_hazard,sigma_port,z_port[1],z_port[2],z_port[3],z_port[4],sigma_visit,z_visit[1],z_visit[2],z_visit[3],z_visit[4],sigma_time,z_time[1],z_time[2],mu_log_aboard,sigma_ship,z_ship[1],mu_log_r,sigma_r,z_r[1],log_crew_ratio,beta_repeat,ww_logit_base,ww_slope,ww_conc,conc_intercept,conc_slope,conc_sigma,log_lambda_port[1],log_lambda_port[2],log_lambda_port[3],log_lambda_port[4],fleet_time[1],fleet_time[2],log_lambda_visit[1],log_lambda_visit[2],log_lambda_visit[3],log_lambda_visit[4],lambda_aboard[1],R_onboard[1],lambda_port[1],lambda_port[2],lambda_port[3],lambda_port[4],lambda_visit[1],lambda_visit[2],lambda_visit[3],lambda_visit[4],imported_cases_visit[1],imported_cases_visit[2],imported_cases_visit[3],imported_cases_visit[4],imported_cases[1],imported_cases[2],imported_cases[3],imported_cases[4],attribution_share[1],attribution_share[2],attribution_share[3],attribution_share[4],aboard_cases,secondary_cases,total_incidence,import_share,crew_hazard_ratio,repeat_hazard_ratio,loglik_clinical,loglik_wastewater,loglik_concentration
1.0,1.0,1.0,-55.477921,0.97131625,0.23862036,4.0,15.0,0.0,77.175543,-8.6414814,0.38611313,-1.9005507,-1.5871755,-2.0509001,-0.10353919,0.21648709,0.18405064,-0.33747181,-0.59411619,-1.0403992,0.52403015,0.012087037,-1.4374724,-12.926208,0.1453143,-0.12246552,-1.3103182,0.22739882,0.99330102,-0.10383086,-0.027236333,-6.2411518,0.62613061,31239.453,6.0960041,0.87033658,0.65553868,-9.375309,-9.2543107,-9.4333609,-8.6814593,0.0063339716,-0.7532789,-10.088743,-10.080648,-10.315258,-8.9003583,2.3905091e-06,0.33809013,8.4792029e-05,9.5698233e-05,8.0009844e-05,0.00016970324,4.1544587e-05,4.1882273e-05,3.3123808e-05,0.00013634007,0.10280571,0.12101,0.1264813,1.5365526,0.10280571,0.12101,0.1264813,1.5365526,0.038195345,0.044958776,0.046991525,0.57087448,0.23040204,0.57432529,2.6915769,0.70102012,0.90137774,0.97313123,-35.417858,0.0,0.0
1.0,2.0,2.0,-59.199502,0.9898257,0.23862036,4.0,15.0,0.0,71.521265,-8.3695728,0.51770692,0.88055496,-1.0397581,0.95557276,-0.22168345,0.083936025,-0.78590043,1.0057064,3.4397314,-0.20949846,0.71872255,-0.77028625,-1.4745394,-13.046814,1.0495143,-0.38294573,-0.62486266,0.65687157,-0.91007943,-0.69987103,-0.18821972,-6.6764019,1.8877698,32971.471,9.758903,1.1480778,0.3849377,-7.9137034,-8.9078627,-7.8748661,-8.4843398,-0.5536221,-1.0597847,-9.0394534,-9.8832324,-8.6459335,-9.0555464,1.4430946e-06,0.29444355,0.00036569776,0.00013532074,0.00038017985,0.0002066798,0.00011863566,5.1023083e-05,0.00017584046,0.00011674174,0.28704424,0.14308385,0.64866276,1.3156795,0.28704424,0.14308385,0.64866276,1.3156795,0.090652756,0.045187964,0.20485715,0.41551075,0.13908835,0.6328563,3.166415,0.75620863,0.49664935,0.82843266,-36.44818,0.0,0.0
1.0,3.0,3.0,-59.532998,0.97819536,0.23862036,4.0,15.0,0.0,71.07452,-9.1697294,0.49927834,0.55589293,-1.327501,1.4191682,-0.10257526,0.10463249,0.87164532,0.041595005,2.9220909,0.41103165,0.69602727,-0.23410371,-1.9773027,-12.395724,0.20799169,-0.32853152,-0.86948728,0.41697448,-2.4297369,-0.7778634,-0.32960132,-8.3045663,1.0121624,171978.73,10.086842,1.2416431,0.60850862,-8.8921841,-9.8325219,-8.4611695,-9.220943,-0.16294257,-1.3762566,-10.177238,-11.204426,-9.5316804,-9.3408783,3.8630408e-06,0.15218999,0.00013745911,5.367722e-05,0.00021152456,9.8945339e-05,3.8026081e-05,1.3613804e-05,7.2517661e-05,8.7762321e-05,0.091813082,0.03807061,0.2666477,0.98908136,0.091813082,0.03807061,0.2666477,0.98908136,0.046996197,0.019487135,0.13648848,0.5062793,0.3723276,0.19568754,1.9536279,0.70925111,0.45938649,0.71921041,-36.212427,0.0,0.0
1.0,4.0,4.0,-53.537174,0.99663376,0.23862036,4.0,15.0,0.0,71.694324,-9.2129586,0.3374117,-0.55510615,0.42464071,1.0897005,-0.027969893,0.63414462,1.7900571,-1.1787061,-1.9854997,0.89423143,0.22420641,-0.33870693,-1.00831,-14.437936,0.22975727,-0.81176491,-1.0480033,0.56023956,-0.16390656,0.18558335,0.14989083,-5.3494,1.2867788,235403.19,10.689255,0.91955963,0.47962907,-9.4002579,-9.0696799,-8.8452809,-9.222396,-0.075940266,-0.22606956,-8.4911724,-10.04322,-10.330444,-8.7312642,4.4533224e-07,0.31987331,8.270273e-05,0.00011510338,0.00014405996,9.8801675e-05,0.00020527246,4.3479563e-05,3.2624584e-05,0.00016145821,0.51641073,0.12838747,0.12773355,1.819634,0.51641073,0.12838747,0.12773355,1.819634,0.15911967,0.039559542,0.039358053,0.56067691,0.042922012,0.61033573,3.2454235,0.79871417,1.2039205,1.1617074,-35.313411,0.0,0.0
1.0,5.0,5.0,-56.518136,0.79764636,0.23862036,4.0,15.0,0.0,68.976269,-9.1612564,0.76269387,0.58093445,-1.0472392,-0.44405744,-0.34496787,0.11941322,0.92294711,0.29806104,-1.7211339,-0.63743869,0.51681737,0.084700501,-1.276893,-11.748376,0.073551329,1.2239251,-0.38591653,0.13146342,0.079440999,0.26655574,0.087443668,-8.4823642,1.0685558,5093.3156,11.18993,0.69433437,0.57659113,-8.7181812,-9.9599793,-9.4999362,-9.4243612,0.04377469,-0.65992049,-9.2678896,-10.584307,-10.365383,-9.4567052,8.6465078e-06,0.6869643,0.00016358445,4.7253716e-05,7.4856602e-05,8.0733154e-05,9.440754e-05,2.5310093e-05,3.1504414e-05,7.8163705e-05,0.2388079,0.075275929,0.12437147,0.88090495,0.2388079,0.075275929,0.12437147,0.88090495,0.062869813,0.019817534,0.032742682,0.23191164,0.83336772,1.6457229,3.7984509,0.34734166,1.3054604,1.0913808,-37.040406,0.0,0.0
1.0,6.0,6.0,-54.600451,0.96543078,0.23862036,4.0,15.0,0.0,70.950902,-10.493732,0.49866162,-0.96982415,0.30126842,-0.36637054,0.63855159,0.65733201,0.57071906,-0.87760566,0.16970793,0.17401134,1.4106441,1.671375,0.51208318,-12.636159,0.14272698,-2.311363,-1.2635858,0.43789811,-1.2212443,-0.28817946,-0.099918263,-6.1134583,0.83520244,862936.36,5.2854687,1.2205342,0.1669592,-10.977347,-10.343501,-10.676427,-10.175311,2.3577152,0.72236711,-9.8798275,-10.198013,-9.8425058,-7.7032128,2.3383778e-06,0.16556916,1.708437e-05,3.2201373e-05,2.3082694e-05,3.8099428e-05,5.1197108e-05,3.7244263e-05,5.3143976e-05,0.00045137467,0.12563511,0.10642257,0.20034645,5.0869925,0.12563511,0.10642257,0.20034645,5.0869925,0.019753097,0.016732388,0.031499658,0.79980716,0.22537753,0.61549959,6.3602738,0.86779231,0.74962705,0.90491138,-34.077893,0.0,0.0
1.0,7.0,7.0,-57.433939,0.67081392,0.23862036,4.0,31.0,0.0,71.827545,-9.4306422,1.0390922,0.33792823,-0.095721266,-1.3413523,0.68232182,0.12214731,-0.86366097,0.30484249,-1.2667717,-1.7214425,0.33062064,1.1805884,0.68048449,-16.02274,0.34345394,0.092013238,-0.35890969,0.50845366,0.42371065,0.16128713,0.24567295,-5.4404724,0.50042916,1138346.7,7.3414678,0.91065086,0.074809509,-9.0795037,-9.5301055,-10.824431,-8.721647,0.39032691,0.22498222,-8.9600153,-9.2678875,-10.754181,-8.5415897,1.1353695e-07,0.86634466,0.00011397816,7.2631964e-05,1.9907163e-05,0.00016301848,0.00012844429,9.4407735e-05,2.1355923e-05,0.00019517974,0.32262675,0.27819644,0.083416386,2.1996757,0.32262675,0.27819644,0.083416386,2.1996757,0.052572722,0.045332706,0.013592879,0.35844188,0.010942918,3.2419127,6.136771,0.46994019,1.1750223,1.2784814,-36.423629,0.0,0.0
1.0,8.0,8.0,-62.416101,0.91356557,0.23862036,4.0,15.0,0.0,73.055761,-10.082682,1.0793324,0.6596012,0.59602606,-0.96521443,0.43106462,0.053136682,-1.3090665,-1.9915625,-1.1776871,-0.27871492,0.15289538,0.5835924,0.11515635,-17.113008,0.24409465,1.8290249,-0.17981615,0.67434292,-0.76804061,0.53397566,0.028681669,-5.4975694,0.47386704,479452.2,8.3432345,0.774266,0.12780592,-9.370753,-9.4393717,-11.124469,-9.6174199,0.089228584,0.017606874,-9.4227055,-9.5275898,-11.169441,-9.5430013,5.778405e-08,0.4977094,8.5179228e-05,7.9530364e-05,1.4747025e-05,6.6559125e-05,8.0866935e-05,7.281491e-05,1.409852e-05,7.1701327e-05,0.20895816,0.22268234,0.057463089,0.80807395,0.20895816,0.22268234,0.057463089,0.80807395,0.11072193,0.11799405,0.030448316,0.42817905,0.0055693423,0.58448685,1.8872337,0.68734334,1.7057001,1.0290969,-36.871498,0.0,0.0
1.0,9.0,9.0,-62.49429,0.99424987,0.23862036,4.0,15.0,0.0,77.685056,-9.2575148,0.54708252,0.56437794,0.39959286,0.36374249,1.165522,0.59132033,-2.819411,0.63255839,-0.96120903,-0.81655257,0.17396044,0.072631973,-0.59710273,-15.751569,0.37691314,-1.8454388,-0.19481258,0.45616632,-1.3254018,-0.39465785,-0.45886293,-9.229966,1.2454651,3065.7948,9.138889,1.3332803,0.04250883,-8.9487535,-9.0389046,-9.0585177,-8.6198782,0.01263509,-0.10387225,-10.719801,-8.7687322,-9.7307724,-9.0900872,7.1961175e-08,0.44959134,0.00012989897,0.00011870079,0.00011639538,0.00018048224,2.210292e-05,0.00015552063,5.9426376e-05,0.00011277823,0.054011842,0.44191516,0.22259049,1.2710107,0.054011842,0.44191516,0.22259049,1.2710107,0.018850758,0.15423351,0.077686658,0.44359745,0.006935762,0.86877052,2.8652345,0.69436837,0.67391058,0.63200187,-36.318098,0.0,0.0
1.0,10.0,10.0,-64.429113,0.92918649,0.23862036,4.0,15.0,0.0,80.446906,-9.3081813,0.9617232,-0.70185771,0.84968694,0.2686908,0.69731236,0.28116241,-2.1879893,-1.1021566,-0.50978066,0.68612409,0.23638757,-0.2119317,0.17029049,-16.462511,0.73920267,-1.5046556,-0.90954412,0.15344866,-0.6253447,-0.77820923,-0.71775972,-7.3418745,0.89557835,5424.4314,12.178915,0.60308684,0.11210814,-9.9831742,-8.4910177,-9.0497751,-8.6375598,-0.05009802,0.040254555,-10.5581,-8.7606481,-9.1528517,-8.4947456,2.3301303e-08,0.36586077,4.6170285e-05,0.00020530422,0.00011741744,0.00017731906,2.5982172e-05,0.00015678296,0.00010591732,0.0002045403,0.062732785,0.4384338,0.389453,2.3051691,0.062732785,0.4384338,0.389453,2.3051691,0.014859182,0.10384949,0.092247664,0.54601317,0.0022458262,1.0237851,4.2218197,0.7569695,0.45922764,0.48784394,-35.469315,0.0,0.0
